_id,Fecha y hora,Departamento,Localidad,Jurisdiccion,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
30,2018-01-21T10:20:00,FLORIDA,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,75,F,0,"","RUTA 42 KM 18,000",578639.12,6273594.09
31,2018-01-21T11:24:00,CANELONES,BALNEARIO ARGENTINO,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,62,F,4,CAMIONETA,"RUTA INTERBALNEARIA KM 76,000",642084.39,6150439.56
32,2018-01-21T18:00:00,CANELONES,PANDO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,22,M,0,MOTO,LORENZO CARNELLI ESQ. FRANCISCO MENESES,595221.8696,6158282.113
33,2018-01-22T18:20:00,SALTO,SALTO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,17,M,0,CAMION,AVENIDA MANUEL ORIBE ESQ. AVENIDA ARENAL GRANDE,412000.7036,6527103.4246
34,2018-01-24T03:05:00,TACUAREMBO,N/C,DEPARTAMENTAL,ATROPELLO DE ANIMALES,MOTO,CONDUCTOR,19,M,0,"",AV. GUTIERREZ RUIZ ESQ. CAMINO VECINAL LOS ESPINILLOS,597235.79624034,6495936.3915449
35,2018-01-25T05:45:00,SALTO,SALTO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,53,M,0,OMNIBUS,AVENIDA MANUEL ORIBE ESQ. AVENIDA DEFENSA,413668.9173,6527062.8307
36,2018-01-25T15:00:00,CANELONES,PROGRESO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,PASAJERO,18,M,1,CAMIONETA,DIEGO FERNANDEZ ESQ. AMERICO VESPUCIO,571413.0654,6160335.9756
37,2018-01-25T18:10:00,CANELONES,ESTACION ATLANTIDA,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,80,M,9,CAMION,"RUTA 11 KM 163,000",613008.07,6155186.01
38,2018-01-26T19:00:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,CONDUCTOR,21,M,0,AUTO,"RUTA 37 KM 7,500",660121.16716294,6145324.39982859
39,2018-01-26T19:00:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,45,M,0,AUTO,"RUTA 37 KM 7,500",660121.16716294,6145324.39982859
40,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,CONDUCTOR,25,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
41,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,32,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
42,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,18,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
43,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,19,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
44,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,37,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
45,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,26,M,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
46,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,37,F,0,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
